epoch           num_updates     train_loss      validation_loss timestamp       
98              9831            1612.9054       1582.6876       2020-03-06 00:28:47.869602
99              9931            1515.4197       1467.4093       2020-03-06 00:31:11.693916
100             10032           1485.4962       1465.3146       2020-03-06 00:33:38.558901
101             10132           1654.4099       1584.9305       2020-03-06 00:36:01.291276
102             10232           1982.0685       1968.0331       2020-03-06 00:38:27.275267
103             10331           1950.6997       1888.3809       2020-03-06 00:40:52.434756
104             10432           1938.6693       1911.6809       2020-03-06 00:43:20.279791
105             10533           1949.6002       1913.9598       2020-03-06 00:45:52.500656
106             10632           1669.8433       1657.8099       2020-03-06 00:48:24.964690
107             10733           1765.1907       1764.9016       2020-03-06 00:50:52.458591
108             10831           1598.9316       1551.8646       2020-03-06 00:53:09.390177
109             10930           1617.8412       1598.6917       2020-03-06 00:55:28.115435
110             11031           1557.3308       1469.7455       2020-03-06 00:57:46.736652
111             11132           1760.6997       1668.7916       2020-03-06 01:00:13.750475
112             11232           1727.4792       1620.6942       2020-03-06 01:02:45.584844
113             11333           1922.8945       1715.2432       2020-03-06 01:05:13.709972
114             11435           1783.9186       1658.5057       2020-03-06 01:07:37.927530
115             11536           1731.1902       1568.5677       2020-03-06 01:10:01.513531
116             11634           1563.9254       1400.3436       2020-03-06 01:12:23.936212
117             11737           1840.0829       1566.5189       2020-03-06 01:14:48.134605
118             11836           1936.5629       1906.7773       2020-03-06 01:17:14.734836
119             11936           1934.5399       1874.8405       2020-03-06 01:19:43.705096
120             12034           2247.8228       2150.8328       2020-03-06 01:22:11.649232
121             12134           2319.7324       2155.3965       2020-03-06 01:24:37.091462
122             12235           2053.9758       1925.0471       2020-03-06 01:27:02.916176
123             12337           1803.0208       1660.0664       2020-03-06 01:29:28.893815
124             12437           2047.3756       1871.4873       2020-03-06 01:31:53.621621
125             12537           2274.894        2085.3496       2020-03-06 01:34:19.258221
126             12637           2393.7126       2216.7847       2020-03-06 01:36:44.047470
127             12737           2156.6418       1971.0751       2020-03-06 01:39:08.983839
128             12838           2166.6506       2000.0479       2020-03-06 01:41:36.844682
129             12938           2263.5325       2007.6744       2020-03-06 01:44:06.955227
130             13037           2181.7964       1998.2893       2020-03-06 01:46:32.906076
131             13137           2427.3569       2184.7488       2020-03-06 01:49:00.959832
132             13236           2278.864        2007.135        2020-03-06 01:51:29.515211
133             13336           2690.9358       2242.1794       2020-03-06 01:53:55.533370
134             13435           2278.7661       1958.085        2020-03-06 01:56:22.527472
135             13536           2938.2854       2489.3616       2020-03-06 01:58:51.828141
136             13637           2450.2192       2163.0964       2020-03-06 02:01:21.500206
137             13737           1966.1836       1814.8145       2020-03-06 02:03:49.965924
138             13837           2335.3372       2022.3871       2020-03-06 02:06:11.755984
139             13936           2284.7751       2039.0375       2020-03-06 02:08:36.193069
140             14038           2115.4438       1879.9586       2020-03-06 02:11:04.223536
141             14138           2216.8899       2005.9172       2020-03-06 02:13:28.085450
142             14239           2251.0405       1973.5742       2020-03-06 02:15:55.365654
143             14338           1942.7894       1760.7959       2020-03-06 02:18:16.729950
144             14438           1949.2909       1842.0619       2020-03-06 02:20:39.664455
145             14539           2725.9324       2485.8479       2020-03-06 02:23:02.073882
146             14640           2306.9775       2146.3977       2020-03-06 02:25:34.923805
147             14740           2016.2296       1975.3789       2020-03-06 02:28:02.236780
148             14840           2466.2568       2314.4692       2020-03-06 02:30:26.167147
149             14939           2039.1044       1951.5699       2020-03-06 02:32:52.949577
150             15038           2255.5552       2087.8142       2020-03-06 02:35:23.919599
151             15138           2420.9812       2339.1794       2020-03-06 02:37:55.010632
152             15238           1982.5526       1890.709        2020-03-06 02:40:24.851013
153             15338           2300.7241       2173.4031       2020-03-06 02:42:46.803268
154             15439           2479.4617       2343.3831       2020-03-06 02:45:13.821419
155             15539           2488.2141       2557.4834       2020-03-06 02:47:35.907693
156             15640           2215.6843       2200.7166       2020-03-06 02:49:58.333166
157             15739           2466.9072       2470.1912       2020-03-06 02:52:17.578918
158             15838           2181.5374       2183.2734       2020-03-06 02:54:40.461235
159             15937           2209.342        2198.3313       2020-03-06 02:57:02.470168
160             16037           2349.0515       2267.2966       2020-03-06 02:59:29.681192
161             16137           2476.4902       2377.3235       2020-03-06 03:01:59.783918
162             16236           2104.1724       2136.8347       2020-03-06 03:04:24.016783
163             16336           2193.9392       2228.4727       2020-03-06 03:06:54.383779
164             16435           1989.4958       2107.7231       2020-03-06 03:09:19.896543
165             16536           2186.1548       2250.3418       2020-03-06 03:11:48.928118
166             16636           2023.0568       2020.8711       2020-03-06 03:14:13.261005
167             16734           2420.2847       2352.1511       2020-03-06 03:16:38.955039
168             16835           2106.9287       2165.6882       2020-03-06 03:19:13.211432
169             16934           2278.4429       2250.3064       2020-03-06 03:21:38.077733
170             17033           2172.145        2229.3567       2020-03-06 03:23:58.796637
171             17133           2912.8623       2761.7612       2020-03-06 03:26:22.038153
172             17232           2457.6851       2413.9434       2020-03-06 03:28:52.099748
173             17334           2180.303        2106.5017       2020-03-06 03:31:20.459027
174             17432           2204.677        2147.7605       2020-03-06 03:33:48.649020
175             17534           1890.9136       1910.6371       2020-03-06 03:36:22.830418
176             17634           1588.801        1691.0891       2020-03-06 03:38:56.903228
177             17735           1863.5938       1985.6256       2020-03-06 03:41:26.107848
178             17834           1902.0668       1920.4307       2020-03-06 03:43:52.204548
179             17934           1874.0533       1897.9631       2020-03-06 03:46:16.541741
180             18033           2171.7847       2048.2759       2020-03-06 03:48:48.225214
181             18132           2175.8293       2040.7678       2020-03-06 03:51:17.923806
182             18236           2253.1194       2231.1965       2020-03-06 03:53:53.120099
183             18335           2065.9224       1865.2509       2020-03-06 03:56:29.227854
184             18434           2472.5615       2223.8567       2020-03-06 03:58:57.687034
185             18534           2410.5269       2206.3494       2020-03-06 04:01:33.485759
186             18634           2273.1365       2086.6648       2020-03-06 04:04:01.092287
187             18733           1836.8275       1686.8802       2020-03-06 04:06:30.665473
